Date,Volume,Open,Close,High,Low
10/4/2023,1641081,820.33,823.81,830.58,816.3025
10/3/2023,1873279,827,814.83,835.75,808.91
10/2/2023,1466238,829.06,834.95,838.56,823.5
9/29/2023,1646319,836.45,830.58,844.04,822.91
9/28/2023,1615647,820.17,832,838.86,814.68
9/27/2023,1534822,819.26,816.81,823.68,804.3801
9/26/2023,1763388,829.17,816.19,830.265,811.21
9/25/2023,1563459,828,833.89,838.5599,823.01
9/22/2023,2775850,811.24,829.08,830.5799,810.38
9/21/2023,5362930,795.11,808.36,822.5,795.09
9/20/2023,1364732,849.99,830.57,849.99,830.35
9/19/2023,1309379,845.99,849.2,851.03,838.5
9/18/2023,1653116,842.58,850,856.33,840
9/15/2023,5016047,868.16,851.68,868.16,842.9
9/14/2023,1963341,859.03,871.64,876.67,855
9/13/2023,1741265,847.19,852.93,859.11,844.24
9/12/2023,1666466,850.24,844.52,858.265,841.66
9/11/2023,1569710,868.77,859.14,869,845.65
9/8/2023,1678238,855,857.55,860.83,850.12
9/7/2023,2778016,859.5,857.03,861.69,840.52
9/6/2023,2011393,872.5,872.27,877.37,866.74
9/5/2023,2480739,869.51,872.17,883,867
9/1/2023,6492036,901.87,872.52,901.87,864.66
8/31/2023,5365803,898.01,922.89,923.67,893.77
8/30/2023,2316420,892.39,892.28,898.71,879.11
8/29/2023,2780005,858.4,889.93,892.835,856.4199
8/28/2023,1428592,856.39,861.08,864.1299,847.11
8/25/2023,2415229,857.02,851.82,869.44,837.67
8/24/2023,3090156,902.35,854.46,909.855,852.46
8/23/2023,1929079,850.77,876.58,878.19,850
8/22/2023,1707659,873.41,855.79,874.75,850.88
8/21/2023,3009268,834.06,865.14,867.34,831.77
8/18/2023,1791104,820,825.84,828.17,812
8/17/2023,1921169,836.51,827.1,839.42,827.01
8/16/2023,1593015,847.79,832.99,854.5,831.96
8/15/2023,1403208,849.21,842.52,854.62,836.46
8/14/2023,1766595,831.13,854.1,854.18,827.38
8/11/2023,2032196,834.01,829.76,836.4,823.48
